time,qpos,qvel,qacc,tau,X,dX,ddX
0.0,[0. 0. 0. 0.],"[[0.]
 [0.]
 [0.]
 [0.]]","[[-3.14159265]
 [-3.14159265]
 [-3.14159265]
 [-3.14159265]]",[-79.42719922 -28.9150617   -0.14579608 -18.1318758 ],[0. 0. 5.],"[[0.]
 [0.]
 [0.]]","[[0.]
 [0.]
 [0.]]"
0.01,[0.00000000e+00 1.54543045e-05 0.00000000e+00 0.00000000e+00],"[[ 2.05518521e+05]
 [ 1.70280603e-03]
 [-1.10082879e-11]
 [-8.01522233e+05]]","[[0.]
 [0.]
 [0.]
 [0.]]",[-3.37464000e+01  0.00000000e+00  2.79724161e-17 -5.88600000e+00],[2.02588214e-05 2.02588214e-05 5.00000000e+00],"[[0.00595994]
 [0.00595994]
 [0.        ]]","[[1.14527456]
 [1.14527456]
 [0.        ]]"
0.02,[-1.16486447e-08  3.14145367e+00 -3.03384249e-08  0.00000000e+00],"[[ 1.04784569e+06]
 [ 2.18676081e-02]
 [-4.35046284e-11]
 [ 3.24832160e+06]]","[[ 2.05518521e+05]
 [ 1.70280603e-03]
 [-1.10082879e-11]
 [-8.01522233e+05]]",[ 5232077.56346455  3854019.8933743    624509.03077464 -1345547.79924154],[1.52800915e-04 1.52800915e-04 5.00000000e+00],"[[0.02200782]
 [0.02200782]
 [0.        ]]","[[2.02124706]
 [2.02124706]
 [0.        ]]"
0.03,[-1.16486447e-08  3.14115115e+00 -6.84613735e-08  0.00000000e+00],"[[ 2.16858697e+06]
 [ 1.18471312e-01]
 [-6.43675040e-10]
 [ 6.72261888e+06]]","[[ 1.04784569e+06]
 [ 2.18676081e-02]
 [-4.35046284e-11]
 [ 3.24832160e+06]]",[10720723.73326292 17764356.55150218  3476856.88049036  1054003.97969514],[4.85406606e-04 4.85406606e-04 5.00000000e+00],"[[0.04556044]
 [0.04556044]
 [0.        ]]","[[2.64988653]
 [2.64988653]
 [0.        ]]"
0.04,[-1.16486447e-08  3.14060885e+00 -3.03216627e-08  3.81397108e-08],"[[ 7.33789696e+05]
 [-1.53942763e-03]
 [-5.44762292e-10]
 [ 2.27474681e+06]]","[[ 2.16858697e+06]
 [ 1.18471312e-01]
 [-6.43675040e-10]
 [ 6.72261888e+06]]",[22171011.81021877 36014577.11095865  7194949.38424926  2181339.70924845],[1.08112292e-03 1.08112292e-03 5.00000000e+00],"[[0.07425433]
 [0.07425433]
 [0.        ]]","[[3.05316202]
 [3.05316202]
 [0.        ]]"
0.05,[ 5.69844322e-09  3.13978901e+00 -3.37913153e-08  5.54867987e-08],"[[ 7.69000100e+05]
 [-7.33499039e-03]
 [-1.07842958e-09]
 [ 2.38389593e+06]]","[[ 7.33789696e+05]
 [-1.53942763e-03]
 [-5.44762292e-10]
 [ 2.27474681e+06]]",[ 7229942.99475349 12203126.95564846  2377967.02273898   738102.06472398],[1.98046047e-03 1.98046047e-03 5.00000000e+00],"[[0.1059457]
 [0.1059457]
 [0.       ]]","[[3.25304256]
 [3.25304256]
 [0.        ]]"
0.06,[-1.17066738e-08  3.13867180e+00 -1.63861983e-08  1.28495601e-07],"[[ 4.75536475e+05]
 [-3.29004425e-02]
 [-1.83651537e-09]
 [ 1.47415597e+06]]","[[ 7.69000100e+05]
 [-7.33499039e-03]
 [-1.07842958e-09]
 [ 2.38389593e+06]]",[ 7697762.50670055 12781979.83894711  2525140.42095498   773521.59293521],[3.2035904e-03 3.2035904e-03 5.0000000e+00],"[[0.13871043]
 [0.13871043]
 [0.        ]]","[[3.27149722]
 [3.27149722]
 [0.        ]]"
0.07,[ 9.97290370e-08  3.13725344e+00 -1.63861983e-08  2.92361308e-07],"[[ 2.67896291e+05]
 [-4.52363085e-02]
 [-4.58561567e-09]
 [ 8.30469674e+05]]","[[ 4.75536475e+05]
 [-3.29004425e-02]
 [-1.83651537e-09]
 [ 1.47415597e+06]]",[4786562.2383707  8205779.98137597 1571919.32276     478331.81767744],[4.75254124e-03 4.75254124e-03 5.00000000e+00],"[[0.17084412]
 [0.17084412]
 [0.        ]]","[[3.13049501]
 [3.13049501]
 [0.        ]]"
0.08,[ 1.17291174e-07  3.13554417e+00 -1.63861983e-08  6.06755263e-07],"[[ 1.54146048e+05]
 [-5.56623626e-02]
 [-1.06053317e-08]
 [ 4.77842880e+05]]","[[ 2.67896291e+05]
 [-4.52363085e-02]
 [-4.58561567e-09]
 [ 8.30469674e+05]]",[2707264.74736878 4924508.43406346  891468.61424907  269469.41805239],[0.0066134 0.0066134 5.       ],"[[0.20086204]
 [0.20086204]
 [0.        ]]","[[2.852005]
 [2.852005]
 [0.      ]]"
0.09,[2.29314966e-07 3.13356667e+00 1.27541304e-09 1.21683200e-06],"[[ 8.75947934e+04]
 [-6.58647227e-02]
 [-2.30147083e-08]
 [ 2.71533985e+05]]","[[ 1.54146048e+05]
 [-5.56623626e-02]
 [-1.06053317e-08]
 [ 4.77842880e+05]]",[1567446.5337545  3126505.675661    517862.43398859  155049.08192634],[0.00875849 0.00875849 5.        ],"[[0.22749916]
 [0.22749916]
 [0.        ]]","[[2.45799622]
 [2.45799622]
 [0.        ]]"
0.1,[4.89628754e-07 3.13135412e+00 2.19169167e-08 2.36760254e-06],"[[ 4.95008136e+04]
 [-7.33776165e-02]
 [-4.85316513e-08]
 [ 1.53443441e+05]]","[[ 8.75947934e+04]
 [-6.58647227e-02]
 [-2.30147083e-08]
 [ 2.71533985e+05]]",[ 900007.67958662 2074145.75583703  298592.71782512   88105.36987768],[0.0111486 0.0111486 5.       ],"[[0.24971013]
 [0.24971013]
 [0.        ]]","[[1.97043772]
 [1.97043772]
 [0.        ]]"
0.11,[8.61010650e-07 3.12894893e+00 4.02168160e-09 4.73463775e-06],"[[ 2.64259672e+04]
 [-7.76955075e-02]
 [-1.05067924e-07]
 [ 8.19131054e+04]]","[[ 4.95008136e+04]
 [-7.33776165e-02]
 [-4.85316513e-08]
 [ 1.53443441e+05]]",[ 517614.56782701 1471295.97839027  172644.03348601   49786.52219911],[0.01373516 0.01373516 5.        ],"[[0.26666931]
 [0.26666931]
 [0.        ]]","[[1.41129854]
 [1.41129854]
 [0.        ]]"
0.12,[ 1.75883457e-06  3.12640058e+00 -5.25630608e-08  9.41404692e-06],"[[ 1.38226183e+04]
 [-8.04815168e-02]
 [-2.20187623e-07]
 [ 4.28445338e+04]]","[[ 2.64259672e+04]
 [-7.76955075e-02]
 [-1.05067924e-07]
 [ 8.19131054e+04]]",[ 285706.45138896 1105630.13876375   96006.59262856   26575.41969338],[0.01646244 0.01646244 5.        ],"[[0.27777073]
 [0.27777073]
 [0.        ]]","[[0.80254771]
 [0.80254771]
 [0.        ]]"
0.13,[-8.04174665e-09  3.12376424e+00  1.59477730e-03  3.14159265e+00],"[[-1.32189010e+07]
 [ 1.54560217e+04]
 [-3.48543720e-05]
 [ 1.45376585e+07]]","[[ 1.38226183e+04]
 [-8.04815168e-02]
 [-2.20187623e-07]
 [ 4.28445338e+04]]",[ 566649.89517902  172225.43991256  -21626.41158856 2818043.97475853],[0.01926974 0.01926974 5.        ],"[[0.28262812]
 [0.28262812]
 [0.        ]]","[[0.16615429]
 [0.16615429]
 [0.        ]]"
0.14,[-1.38337311e-08  3.12109898e+00  1.59477151e-03  3.14159265e+00],"[[-1.31106949e+07]
 [ 1.53283790e+04]
 [-3.45897801e-05]
 [ 1.44176531e+07]]","[[-1.32189010e+07]
 [ 1.54560217e+04]
 [-3.48543720e-05]
 [ 1.45376585e+07]]",[-1.10892095e+08  8.62630277e+07 -6.69594671e+07  8.00375732e+08],[0.02209361 0.02209361 5.        ],"[[0.28107491]
 [0.28107491]
 [0.        ]]","[[-0.47591268]
 [-0.47591268]
 [-0.        ]]"
0.15,[-7.98971408e-09  3.11846488e+00  1.59476858e-03  3.14159265e+00],"[[-1.27075587e+07]
 [ 1.48558598e+04]
 [-3.35450503e-05]
 [ 1.39732347e+07]]","[[-1.31106949e+07]
 [ 1.53283790e+04]
 [-3.45897801e-05]
 [ 1.44176531e+07]]",[-1.10159753e+08  8.54149791e+07 -6.66000487e+07  7.07393004e+08],[0.02487002 0.02487002 5.        ],"[[0.27316419]
 [0.27316419]
 [0.        ]]","[[-1.10168416]
 [-1.10168416]
 [-0.        ]]"
0.16,[-2.09561729e-09  3.11592247e+00  1.59477153e-03  3.14159265e+00],"[[-1.20252383e+07]
 [ 1.40570243e+04]
 [-3.17633612e-05]
 [ 1.32218362e+07]]","[[-1.27075587e+07]
 [ 1.48558598e+04]
 [-3.35450503e-05]
 [ 1.39732347e+07]]",[-1.06936085e+08  8.26704225e+07 -6.47317455e+07  6.85477303e+08],[0.02753658 0.02753658 5.        ],"[[0.25916877]
 [0.25916877]
 [0.        ]]","[[-1.68919111]
 [-1.68919111]
 [-0.        ]]"
0.17,[3.84550986e-09 3.11352942e+00 1.59477747e-03 3.14159265e+00],"[[-1.10892004e+07]
 [ 1.29617441e+04]
 [-2.93095777e-05]
 [ 1.21915864e+07]]","[[-1.20252383e+07]
 [ 1.40570243e+04]
 [-3.17633612e-05]
 [ 1.32218362e+07]]",[-3.08538091e+08 -2.34080135e+08 -1.22323420e+08  6.48046717e+08],[0.03003473 0.03003473 5.        ],"[[0.23958114]
 [0.23958114]
 [0.        ]]","[[-2.21646448]
 [-2.21646448]
 [-0.        ]]"
0.18,[8.53471464e-10 3.11133856e+00 1.59477448e-03 3.14159265e+00],"[[-9.93435363e+06]
 [ 1.16108534e+04]
 [-2.62746854e-05]
 [ 1.09209836e+07]]","[[-1.10892004e+07]
 [ 1.29617441e+04]
 [-2.93095777e-05]
 [ 1.21915864e+07]]",[-2.84504926e+08 -2.15568808e+08 -1.13209363e+08  6.70409320e+08],[0.03231191 0.03231191 5.        ],"[[0.21511349]
 [0.21511349]
 [0.        ]]","[[-2.66153523]
 [-2.66153523]
 [-0.        ]]"
0.19,[8.53471464e-10 3.10939537e+00 1.59476244e-03 3.14159265e+00],"[[-8.60486332e+06]
 [ 1.00560924e+04]
 [-2.27697559e-05]
 [ 9.45867199e+06]]","[[-9.93435363e+06]
 [ 1.16108534e+04]
 [-2.62746854e-05]
 [ 1.09209836e+07]]",[-2.54649967e+08 -1.93120561e+08 -1.01748618e+08  5.35460397e+08],[0.03432381 0.03432381 5.        ],"[[0.18669768]
 [0.18669768]
 [0.        ]]","[[-3.00243432]
 [-3.00243432]
 [-0.        ]]"
0.2,[8.53471464e-10 3.10773557e+00 1.59476849e-03 3.14159265e+00],"[[-7.15405903e+06]
 [ 8.36001291e+03]
 [-1.89401699e-05]
 [ 7.86332499e+06]]","[[-8.60486332e+06]
 [ 1.00560924e+04]
 [-2.27697559e-05]
 [ 9.45867199e+06]]",[-2.20560698e+08 -1.67043545e+08 -8.83717990e+07  4.63719352e+08],[0.03603652 0.03603652 5.        ],"[[0.15548527]
 [0.15548527]
 [0.        ]]","[[-3.2171927]
 [-3.2171927]
 [-0.       ]]"
0.21,[-6.66765780e-10  3.10638254e+00  1.59477761e-03  3.14159265e+00],"[[-5.64448338e+06]
 [ 6.59558636e+03]
 [-1.49519728e-05]
 [ 6.20369183e+06]]","[[-7.15405903e+06]
 [ 8.36001291e+03]
 [-1.89401699e-05]
 [ 7.86332499e+06]]",[-1.83711864e+08 -1.37960872e+08 -7.36823552e+07  4.32341869e+08],[0.03742874 0.03742874 5.        ],"[[0.12284752]
 [0.12284752]
 [0.        ]]","[[-3.28384134]
 [-3.28384134]
 [-0.        ]]"
0.22,[-9.81836004e-09  3.10534498e+00  1.59478066e-03  3.14159265e+00],"[[-4.14804102e+06]
 [ 4.84675546e+03]
 [-1.09922619e-05]
 [ 4.55876380e+06]]","[[-5.64448338e+06]
 [ 6.59558636e+03]
 [-1.49519728e-05]
 [ 6.20369183e+06]]",[-1.44945457e+08 -1.08649228e+08 -5.82341428e+07  3.03969708e+08],[0.038494 0.038494 5.      ],"[[0.09037538]
 [0.09037538]
 [0.        ]]","[[-3.18041118]
 [-3.18041118]
 [-0.        ]]"
0.23,[-3.70314183e-09  3.10461443e+00  1.59478066e-03  3.14159265e+00],"[[-2.74627018e+06]
 [ 3.20874695e+03]
 [-7.27942637e-06]
 [ 3.01808495e+06]]","[[-4.14804102e+06]
 [ 4.84675546e+03]
 [-1.09922619e-05]
 [ 4.55876380e+06]]",[-1.06520999e+08 -7.96355354e+07 -4.28484459e+07  2.23379836e+08],[0.03924282 0.03924282 5.        ],"[[0.05987946]
 [0.05987946]
 [0.        ]]","[[-2.88493319]
 [-2.88493319]
 [-0.        ]]"
0.24,[-2.17211737e-09  3.10416309e+00  1.59478526e-03  3.14159265e+00],"[[-1.53066670e+06]
 [ 1.78839784e+03]
 [-4.05799252e-06]
 [ 1.68212738e+06]]","[[-2.74627018e+06]
 [ 3.20874695e+03]
 [-7.27942637e-06]
 [ 3.01808495e+06]]",[-7.05302987e+07 -5.24844642e+07 -2.83934966e+07  1.65964388e+08],[0.03970492 0.03970492 5.        ],"[[0.0333901]
 [0.0333901]
 [0.       ]]","[[-2.37543833]
 [-2.37543833]
 [-0.        ]]"
0.25,[-6.76827522e-09  3.10394172e+00  1.59477913e-03  3.14159265e+00],"[[-6.03018657e+05]
 [ 7.04543246e+02]
 [-1.59881822e-06]
 [ 6.62680314e+05]]","[[-1.53066670e+06]
 [ 1.78839784e+03]
 [-4.05799252e-06]
 [ 1.68212738e+06]]","[-39320821.1594945  -28973381.89185021 -15836874.23743375
  82469140.41173938]",[0.03993145 0.03993145 5.        ],"[[0.01315731]
 [0.01315731]
 [0.        ]]","[[-1.62995754]
 [-1.62995754]
 [-0.        ]]"
0.26,[2.42575117e-09 3.10387751e+00 1.59478526e-03 3.14159265e+00],"[[-7.56535293e+04]
 [ 8.83906515e+01]
 [-2.00591946e-07]
 [ 8.31382885e+04]]","[[-6.03018657e+05]
 [ 7.04543246e+02]
 [-1.59881822e-06]
 [ 6.62680314e+05]]","[-15475648.58824614 -11122869.95503985  -6243617.72384377
  36516394.25665083]",[0.03999713 0.03999713 5.        ],"[[0.0016508]
 [0.0016508]
 [0.       ]]","[[-0.62652179]
 [-0.62652179]
 [-0.        ]]"
0.27,[-3.69422041e-09  3.10387227e+00  1.59477608e-03  3.14159265e+00],"[[-7.14899584e+04]
 [ 8.35255933e+01]
 [-1.89544605e-07]
 [ 7.85627748e+04]]","[[-7.56535293e+04]
 [ 8.83906515e+01]
 [-2.00591946e-07]
 [ 8.31382885e+04]]",[-1965338.03004271  -882560.39859466  -795147.91715391  4149748.31862498],[0.04000249 0.04000249 5.        ],"[[0.00155996]
 [0.00155996]
 [0.        ]]","[[0.65683797]
 [0.65683797]
 [0.        ]]"
